Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
14,True,19,1,14,14,5575783978,False,19,Tiny
5,True,19,0,5,5,5575727477,False,19,Tiny
1,False,19,1,1,1,5575606190,False,19,Tiny
4,True,19,0,4,4,5575878357,True,19,Tiny
6,True,19,0,6,6,5575898169,True,19,Tiny
6,True,19,1,6,6,5575930694,True,19,Tiny
1,False,19,0,1,1,5575953551,False,19,Tiny
4,True,19,1,4,4,5575988327,False,19,Tiny
9,False,19,1,9,9,5576023663,False,19,Tiny
14,True,19,1,14,14,5576055737,False,19,Tiny
0,False,19,1,0,0,5576124762,True,19,Tiny
5,True,19,0,5,5,5576112928,True,19,Tiny
14,True,19,1,14,14,5576149963,True,19,Tiny
6,True,19,0,6,6,5576150624,True,19,Tiny
2,False,19,0,2,2,5576136610,False,19,Tiny
15,True,19,0,15,15,5576173379,False,19,Tiny
20,False,19,0,20,20,5576173915,True,19,Tiny
0,False,19,1,0,0,5576169993,True,19,Tiny
8,False,19,1,8,8,5576253895,False,19,Tiny
16,True,19,1,16,16,5576288554,True,19,Tiny
5,True,19,0,5,5,5576332805,False,19,Tiny
8,False,19,1,8,8,5576382091,False,19,Tiny
6,True,19,1,6,6,5576391448,True,19,Tiny
6,True,19,0,6,6,5576351087,False,19,Tiny
5,True,19,0,5,5,5576385445,True,19,Tiny
16,True,19,1,16,16,5576386012,True,19,Tiny
20,False,19,0,20,20,5576432772,True,19,Tiny
3,False,19,0,3,3,5576451957,False,19,Tiny
7,True,19,0,7,7,5576524415,False,19,Tiny
0,False,19,0,0,0,5576538799,False,19,Tiny
2,False,19,0,2,2,5576596427,False,19,Tiny
0,False,19,0,0,0,5576632141,True,19,Tiny
6,True,19,1,6,6,5576636434,True,19,Tiny
4,True,19,1,4,4,5576738583,False,19,Tiny
23,True,19,0,23,23,5576742879,False,19,Tiny
5,True,19,1,5,5,5576851806,False,19,Tiny
14,True,19,1,14,14,5576922185,True,19,Tiny
5,True,19,1,5,5,5576933465,True,19,Tiny
9,False,19,1,9,9,5576988121,True,19,Tiny
5,True,19,1,5,5,5577026767,True,19,Tiny
2,False,19,0,2,2,5577029383,False,19,Tiny
14,True,19,0,14,14,5577074753,False,19,Tiny
5,True,19,0,5,5,5577105970,True,19,Tiny
1,False,19,1,1,1,5577117359,False,19,Tiny
4,True,19,0,4,4,5577151149,False,19,Tiny
4,True,19,0,4,4,5577156975,False,19,Tiny
1,False,19,0,1,1,5577184403,False,19,Tiny
6,True,19,0,6,6,5577237509,True,19,Tiny
3,False,19,1,3,3,5577229894,True,19,Tiny
3,False,19,1,3,3,5577247018,True,19,Tiny
4,True,19,0,4,4,5577289779,True,19,Tiny
1,False,19,0,1,1,5577289071,False,19,Tiny
4,True,19,1,4,4,5577318069,True,19,Tiny
3,False,19,1,3,3,5577331493,True,19,Tiny
1,False,19,0,1,1,5577357467,True,19,Tiny
4,True,19,1,4,4,5577375377,True,19,Tiny
4,True,19,0,4,4,5577383822,False,19,Tiny
10,False,19,0,10,10,5577422172,False,19,Tiny
4,True,19,1,4,4,5577463934,True,19,Tiny
5,True,19,1,5,5,5577464901,True,19,Tiny
8,False,19,1,8,8,5577501745,True,19,Tiny
6,True,19,1,6,6,5577539202,True,19,Tiny
23,True,19,1,23,23,5577576453,False,19,Tiny
8,False,19,1,8,8,5577560341,True,19,Tiny
16,True,19,1,16,16,5577635525,False,19,Tiny
2,False,19,1,2,2,5577667740,False,19,Tiny
4,True,19,1,4,4,5577661815,False,19,Tiny
16,True,19,0,16,16,5577662049,False,19,Tiny
6,True,19,0,6,6,5577618142,False,19,Tiny
13,False,19,0,13,13,5577703196,True,19,Tiny
4,True,19,1,4,4,5577721375,False,19,Tiny
5,True,19,0,5,5,5577719311,True,19,Tiny
4,True,19,1,4,4,5577791666,True,19,Tiny
3,False,19,1,3,3,5577792393,False,19,Tiny
5,True,19,0,5,5,5577826316,False,19,Tiny
8,False,19,0,8,8,5577804813,False,19,Tiny
3,False,19,1,3,3,5577849781,True,19,Tiny
1,False,19,0,1,1,5577888904,False,19,Tiny
8,False,19,1,8,8,5577916337,False,19,Tiny
5,True,19,0,5,5,5577982773,True,19,Tiny
6,True,19,0,6,6,5577982779,False,19,Tiny
8,False,19,0,8,8,5577984682,False,19,Tiny
4,True,19,0,4,4,5577968977,True,19,Tiny
